10:00:27 DONE: file:/media/Movies/Документальные/The Universe/vselennaja_03_serija.mkv, audio:-1, size:512x288
10:51:00 DONE: file:/media/Movies/Документальные/The Universe/vselennaja_04_serija.mkv, audio:-1, size:512x288
10:54:01 DONE: file:/media/Movies/Документальные/The Universe/vselennaja_09_serija.mkv, audio:-1, size:512x288
11:30:51 DONE: file:/media/Movies/Документальные/The Universe/vselennaja_13_serija.mkv, audio:-1, size:512x288
11:32:56 DONE: file:/media/Movies/Документальные/The Universe/vselennaja_18.serija.mkv, audio:-1, size:512x288
12:13:21 DONE: file:/media/Movies/Документальные/The Universe/vselennaja_01_serija.mkv, audio:-1, size:512x288
12:28:59 DONE: file:/media/Movies/Документальные/The Universe/vselennaja_12_serija.mkv, audio:-1, size:512x288
12:58:44 DONE: file:/media/Movies/Документальные/The Universe/vselennaja_14_serija.mkv, audio:-1, size:512x288
13:13:40 DONE: file:/media/Movies/Документальные/The Universe/vselennaja_17_serija.mkv, audio:-1, size:512x288
14:04:05 DONE: file:/media/Movies/Документальные/Животные/Animal Armageddon/СЕРИЯ 3 - ВЕЛИКОЕ ВЫМИРАНИЕ.MKV, audio:-1, size:512x280
14:08:32 DONE: file:/media/Movies/Документальные/Животные/Animal Armageddon/СЕРИЯ 1 - ЛУЧИ СМЕРТИ.MKV, audio:-1, size:512x280
14:59:53 DONE: file:/media/Movies/Документальные/Животные/Animal Armageddon/СЕРИЯ 7 - ОГОНЬ И ЛЁД.MKV, audio:-1, size:512x280
15:01:47 DONE: file:/media/Movies/Документальные/Животные/Animal Armageddon/СЕРИЯ 8 - ГРЯДУЩЕЕ ВЫМИРАНИЕ.MKV, audio:-1, size:512x280
15:51:40 DONE: file:/media/Movies/Документальные/Животные/Animal Armageddon/СЕРИЯ 4 - ЗАДОХНУВШИЕСЯ.MKV, audio:-1, size:512x280
15:52:38 DONE: file:/media/Movies/Документальные/Животные/Animal Armageddon/СЕРИЯ 6 - РАЗВЕРЗНУТЫЕ НЕБЕСА.MKV, audio:-1, size:512x280
16:46:35 DONE: file:/media/Movies/Документальные/Животные/Animal Armageddon/СЕРИЯ 5 - СУДНЫЙ ДЕНЬ.MKV, audio:-1, size:512x280
16:47:26 DONE: file:/media/Movies/Документальные/Животные/Animal Armageddon/СЕРИЯ 2 - АД НА ЗЕМЛЕ.MKV, audio:-1, size:512x280
16:51:01 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(008.seriya.iz.150).Alfonso.Desjatyj.2002.DivX.SATRip.avi, audio:-1, size:512x384
16:51:46 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(122.seriya.iz.150).Mlechnyj.put.letom.2002.DivX.SATRip.avi, audio:-1, size:512x384
16:57:06 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(053.seriya.iz.150).Jekliptika.2002.DivX.SATRip.avi, audio:-1, size:512x384
16:58:03 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(010.seriya.iz.150).Isaak.Njuton.2002.DivX.SATRip.avi, audio:-1, size:512x384
17:03:10 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(130.seriya.iz.150).Klassy.galaktik.2002.DivX.SATRip.avi, audio:-1, size:512x384
17:03:10 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(020.seriya.iz.150).Bolshie.teleskopy.2002.DivX.SATRip.avi, audio:-1, size:512x384
17:07:40 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(028.seriya.iz.150).Teleskop.Xabbl.2002.DivX.SATRip.avi, audio:-1, size:512x384
17:08:10 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(023.seriya.iz.150).Radioteleskopy.2002.DivX.SATRip.avi, audio:-1, size:512x384
17:12:40 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(119.seriya.iz.150).Poljarnaja.zvezda.2002.DivX.SATRip.avi, audio:-1, size:512x384
17:13:03 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(091.seriya.iz.150).Padenie.komet.2002.DivX.SATRip.avi, audio:-1, size:512x384
17:17:09 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(012.seriya.iz.150).Astronomy.xudozhniki.2002.DivX.SATRip.avi, audio:-1, size:512x384
17:18:04 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(131.seriya.iz.150).Stolknovenija.galaktik.2002.DivX.SATRip.avi, audio:-1, size:512x384
17:21:42 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(013.seriya.iz.150).Astronomicheskaja.moda.2002.DivX.SATRip.avi, audio:-1, size:512x384
17:22:40 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(148.seriya.iz.150).Prostranstvo.i.vremja.2002.DivX.SATRip.avi, audio:-1, size:512x384
17:26:07 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(032.seriya.iz.150).Vzgljad.izdaleka.2002.DivX.SATRip.avi, audio:-1, size:512x384
17:27:28 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(027.seriya.iz.150).Pioner.10.2002.DivX.SATRip.avi, audio:-1, size:512x384
17:30:20 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(025.seriya.iz.150).Mechta.o.poljotax.2002.DivX.SATRip.avi, audio:-1, size:512x384
17:31:50 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(139.seriya.iz.150).Galaktika.M87.2002.DivX.SATRip.avi, audio:-1, size:512x384
17:34:50 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(026.seriya.iz.150).Sputnik.2002.DivX.SATRip.avi, audio:-1, size:512x384
17:36:39 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(021.seriya.iz.150).Fotografii.v.astronomii.2002.DivX.SATRip.avi, audio:-1, size:512x384
17:39:54 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(007.seriya.iz.150).Astronomija.Majja.2002.DivX.SATRip.avi, audio:-1, size:512x384
17:41:41 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(133.seriya.iz.150).Mlechnyj.put.2002.DivX.SATRip.avi, audio:-1, size:512x384
17:44:48 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(030.seriya.iz.150).Mezhplanetnaja.stancija.Kassini.2002.DivX.SATRip.avi, audio:-1, size:512x384
17:46:27 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(146.seriya.iz.150).Paradoks.Olbersa.2002.DivX.SATRip.avi, audio:-1, size:512x384
17:50:43 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(054.seriya.iz.150).Fotosfera.2002.DivX.SATRip.avi, audio:-1, size:512x384
17:52:16 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(115.seriya.iz.150).Sverhnovaja.zvezda.2002.DivX.SATRip.avi, audio:-1, size:512x384
17:56:24 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(085.seriya.iz.150).Asteroidy.2002.DivX.SATRip.avi, audio:-1, size:512x384
17:57:25 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(011.seriya.iz.150).Levere.i.Flammarion.2002.DivX.SATRip.avi, audio:-1, size:512x384
18:02:25 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(102.seriya.iz.150).Sozvezdie.Gonchie.psy.2002.DivX.SATRip.avi, audio:-1, size:512x384
18:04:01 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(134.seriya.iz.150).Sozvezdie.Deva.i.Volosy.Veroniki.2002.DivX.SATRip.avi, audio:-1, size:512x384
18:08:02 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(019.seriya.iz.150).Teleskop.Njutona.2002.DivX.SATRip.avi, audio:-1, size:512x384
